Iteration,ExecutionTime(ms),ActualPeriod(ms),Jitter(ms)
760,0.989566,1.00382,0.003825
761,0.984733,0.999399,-0.000601
762,0.984362,0.998954,-0.001046
763,0.984807,0.999714,-0.000286
764,0.988861,1.0034,0.003398
765,0.970955,1.02418,0.024177
766,0.968473,0.999028,-0.000972
767,0.98214,1.01151,0.01151
768,0.963066,1.00197,0.001973
769,0.93414,0.974139,-0.025861
770,0.97851,1.00386,0.003862
771,0.950399,0.990899,-0.009101
772,0.982047,1.0004,0.000399
773,0.962807,0.992936,-0.007064
774,0.981566,0.999454,-0.000546
775,0.983806,0.998713,-0.001287
776,0.989362,1.00403,0.004029
777,0.98164,0.996232,-0.003768
